Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result
Golden State Warriors,Boston Celtics,0.6075061987854627,0.26528399002080477,0.8091619160060606,0.021220192615538203,1.2762250012687146,1.3485851560816875,1.8460985078807712,0
Indiana Pacers,Chicago Bulls,2.547383947179953,0.7427951720582564,-0.3034357185022739,2.6737442695578046,1.8979756429124508,-2.4132576477251257,1.5042284138287687,1
Minnesota Timberwolves,Oklahoma City Thunder,-0.9664871344314186,-0.6366815760499329,-0.4045809580030313,-0.8275875120059871,0.2945134618312444,1.8454323188486224,0.20512205643119674,1
Toronto Raptors,Houston Rockets,0.6834444736336458,1.3264199501040237,-0.20229047900151653,0.5305048153884533,-0.75264551356873,-1.561519654410378,-0.47861813167279255,0
Memphis Grizzlies,Portland Trail Blazers,-1.4842480993053926,-2.758953496216371,0.7080166765053033,-1.2519913643167497,-2.7815160284061795,-1.0646724916434382,-1.5042284138287687,1
Los Angeles Lakers,Denver Nuggets,-1.4530357987079714,-1.485157915184864,1.3586663357331383,-1.4692912608095337,-1.8110068389249032,0.42924248718073543,-0.34191786770463195,0
Chicago Bulls,Philadelphia 76ers,-2.373291804556353,-1.5381992692986097,-0.7315895653947656,-2.2571720818233416,-2.3049177949953314,1.216187047012097,-2.3934250739324163,1
Phoenix Suns,New York Knicks,0.18681888840531036,-2.545984997459772,1.9857431060715092,-0.14905853370531474,-0.03292739707135994,0.286161658120492,1.5044386179003806,1
Brooklyn Nets,Cleveland Cavaliers,1.8059159212513358,0.47737218702370976,0.7315895653947656,2.022937243143561,1.0207493092122162,-2.360833679494065,1.4360550443594542,1
Detroit Pistons,Minnesota Timberwolves,0.3182840320979365,0.5834548952511979,1.4631791307895332,0.042588152487232855,-0.9548945150694963,-1.1446466324819728,-0.47868501478648473,1
Atlanta Hawks,San Antonio Spurs,-1.5775817243115118,-0.6895376034786898,4.912101367650576,-1.5544675657839995,-1.7451520447821784,0.6080935235060486,-1.0257536031138883,0
Sacramento Kings,Boston Celtics,-0.7334371174430712,-0.63649624936494,0.3135383851691864,-1.4267031083223007,-0.823184926784047,1.4665784978675245,-1.0257536031138883,0
Charlotte Hornets,Miami Heat,-0.11070748942536895,-1.4851579151848677,-2.717332671466276,-0.021294076243616414,1.1195315004263056,1.323497668807276,0.7522193089501903,0
Washington Wizards,Dallas Mavericks,0.0,-2.7051090598010057,-1.2541535406767435,-0.19164668619254793,0.6914753384985974,0.9657955961566647,0.9573700295729619,1
New Orleans Pelicans,Utah Jazz,-0.8994983515811248,0.10608270822749188,-1.045127950563952,-0.5962341348212601,0.9878219121408562,1.9673613995783892,0.13676714708185278,0
Portland Trail Blazers,Oklahoma City Thunder,-0.10390234170590795,0.7387746632324999,0.522563975281976,-0.17057532305135215,0.857496785213222,1.2540504716809762,1.2321069241753533,0
Milwaukee Bucks,Indiana Pacers,0.8173650880864747,2.110784752092848,-0.4180511802255812,0.8955204460195996,1.121341949894213,-0.2866401078127936,1.1636565394989518,1
Golden State Warriors,Denver Nuggets,0.20789496513739847,-1.2247528549444673,-0.10499372319218975,0.23470670175213026,0.8072173239454457,0.46680281132377643,2.42732312840981,1
Chicago Bulls,Detroit Pistons,-1.607721063729219,-1.6507538479686275,-0.10499372319218792,-1.6002729664917956,-1.244460041082555,1.2567767997178625,-0.13870417876627528,0
Houston Rockets,Philadelphia 76ers,-0.041578993027479805,-1.8637543444807074,-1.1549309551140705,-0.04267394577311456,1.1099238204249886,1.1849609825911265,0.06935208938313764,1
Orlando Magic,Dallas Mavericks,0.33263194421983866,0.10650024825604198,-1.3649184014984481,0.17069578309245817,-0.33634055164393484,-0.7540660798307205,-0.5548167150651012,1
LA Clippers,Oklahoma City Thunder,-0.27026345467861895,-0.9052521101763413,0.7349560623453172,-0.6401091865967181,0.2690724413151469,1.3645005254079638,1.5950980558121581,1
Miami Heat,Cleveland Cavaliers,1.6285105602429586,1.5975037238406065,1.3649184014984481,2.0910233428826124,0.33634055164393484,-3.123988045012973,0.48546462568196347,1
Charlotte Hornets,Washington Wizards,0.325702112048592,2.1832550892488296,-1.0499372319218827,0.4054024848445882,0.033634055164396354,-0.5027107198871469,-1.040281340747057,1
Memphis Grizzlies,Utah Jazz,-1.1503521404269406,-1.7040039720966447,-0.5249686159609414,-1.194870481647207,-1.5135324823977068,0.21544745138020804,-1.4563938770458829,1
New Orleans Pelicans,Toronto Raptors,-1.8779845184078372,0.5325012412802022,0.5249686159609414,-1.024174698554749,-0.2354383861507553,1.4004084339713345,-0.27740835753255055,0
Los Angeles Lakers,Boston Celtics,-1.0776399870910178,0.053181874031151696,2.1511852633513793,-1.5966708845098252,-1.2327792582329637,1.2565533475704236,-0.8204772035683048,0
New York Knicks,Sacramento Kings,-2.1346881272949467,0.5850006143426612,0.43023705267027623,-1.55409299425623,-1.299415974894206,1.0770457264889346,-1.709327507433984,0
Portland Trail Blazers,Phoenix Suns,2.622028503622732,4.148186174429775,-1.505829684345966,2.618540250596113,2.632150308119031,-1.5078640170845046,1.230715805352461,1
Atlanta Hawks,Brooklyn Nets,-1.2835584559619133,-0.6913643624049608,2.366303789686517,-1.2773367076078601,-0.8329589582655155,1.1847502991378271,-0.20511930089207808,0
Milwaukee Bucks,Charlotte Hornets,2.079776535596041,2.020911213183738,0.8604741053405525,2.0863166224261716,1.0995058249104794,-2.441303646708251,1.982819908623414,1
Minnesota Timberwolves,Washington Wizards,0.4187008867041536,2.393184331401792,-0.968033368508121,0.510934683043144,0.3331835833062062,-0.39491676637927386,-1.230715805352461,1
Philadelphia 76ers,Indiana Pacers,0.0,1.0698375382912015,1.0883748778505486,-0.25707947704452005,0.5040970674300337,1.00971337049202,0.8965946144602168,1
Golden State Warriors,Phoenix Suns,3.096287733697544,2.8885613533862435,-1.632562316775823,3.1063770142879505,3.3942535873622255,-1.4785088639347483,3.0346279258653412,0
San Antonio Spurs,Milwaukee Bucks,-1.239900457118256,-1.6047563074368025,-1.3060498534206577,-1.6710166007893803,-0.47049059626803347,2.3439774672136204,-0.7586569814663374,1
Miami Heat,Toronto Raptors,-1.7039972762630773,1.1768212921203232,1.7413998045608796,-1.2853973852226,-1.7811429715861231,0.2163671508197168,-1.9311268619143056,0
Detroit Pistons,Chicago Bulls,1.6901436398706946,1.7117400612659204,0.0,1.7138631802968,1.3442588464800902,-1.3703252885248847,0.20690644949081916,1
Atlanta Hawks,New Orleans Pelicans,-0.6719013650305627,-0.96285378446208,3.047449657981537,-1.3496672544837298,-1.579504144614102,0.4687954934427231,-0.7586569814663298,1
Dallas Mavericks,Houston Rockets,-1.468485457592571,1.6582481843513632,1.0883748778505486,-0.94262474916324,-2.1844206255301466,-0.6130402606558709,-1.5862827794296066,0
Minnesota Timberwolves,New York Knicks,1.9672163677183494,0.05349187691456085,-0.8706999022804377,1.7781330495579302,2.184420625530146,-0.468795493442723,1.724220412423494,1
Memphis Grizzlies,Orlando Magic,-0.30478000063242067,-1.6582481843513635,0.9795373900654942,-0.25707947704452005,-0.8065553078880512,-0.5769790688525814,-0.06896881649693976,1
Brooklyn Nets,Detroit Pistons,0.04891212582614589,-0.3228619180797202,0.5408253249558566,0.04356604130830586,0.3354198111668354,0.2562280103449568,0.9601298459026256,1
Cleveland Cavaliers,Toronto Raptors,-3.158325839059704,-0.3766722377596704,0.21633012998234186,-3.1367549741980216,-1.9118929236509576,3.147944127095169,-2.3317439114777976,1
Houston Rockets,Charlotte Hornets,1.2507529318400157,-0.9147754345592027,1.297980779894057,0.8277547848578113,1.3752212257840228,-0.03660400147785392,1.5773561754114487,1
LA Clippers,Boston Celtics,-0.20263594985117594,0.053810319679954005,1.4061458448852258,-0.8931038468202701,-0.03354198111668638,1.3177440532026274,0.3429035163937949,1
Utah Jazz,Oklahoma City Thunder,-0.35635977387620504,-0.2690515983997662,1.8388061048499118,-0.1742641652332234,-0.4025037734002034,-0.03660400147784881,1.097291252460136,0
Washington Wizards,Sacramento Kings,-0.5729706168205659,-1.7219302297585015,0.6489903899470295,-0.304962289158141,0.5702136789836163,1.061516042857676,1.2344526590176539,1
Philadelphia 76ers,Cleveland Cavaliers,2.637165802516911,1.1845368773083351,1.2977800924745744,2.727597949829892,1.5680079572369219,-2.88994750668563,2.6034431538408094,1
Chicago Bulls,Los Angeles Lakers,-1.2978721750606788,-1.130694291976141,-0.6488900462372871,-1.3205037693620905,-1.0675798857783303,1.060866806251685,-0.9591632672045117,0
LA Clippers,Portland Trail Blazers,-0.3244680437651699,-1.6152775599659144,0.3244450231186426,-0.5844852749635482,-0.6338755571808848,0.2560712980607482,0.2740466477727176,0
Indiana Pacers,New York Knicks,3.044476751073188,-0.48458326798977364,0.10814834103954754,2.7275979498298915,1.6680935715286396,-2.633876208624882,2.4664198299544506,1
Dallas Mavericks,San Antonio Spurs,-1.1805113932732765,0.26921292666098573,2.8118568670282453,-0.6277804805164037,-1.4679223429452044,-0.5121425961215067,-1.301721576920401,0
Denver Nuggets,Minnesota Timberwolves,1.3531007782547506,1.4537498039693246,0.9733350693559317,1.190618152703524,0.7339611714726023,-1.2803564903037616,0.685116619431794,1
New Orleans Pelicans,Milwaukee Bucks,-2.2160477031621166,-1.2383794626405367,0.5407417051977396,-1.9266366471020664,-0.7005993000420266,2.4875497525901693,-1.233209914977229,0
Phoenix Suns,Utah Jazz,-2.312938510352649,-3.2149521478027476,0.32647023765295846,-2.642316553461185,-1.3033835342595845,2.889971955884234,-0.9553387231999408,0
Houston Rockets,Golden State Warriors,-0.4763962901920388,-1.5538935381046608,0.10882341255098549,-0.6280916397571669,-0.2673607249763237,0.7316384698441094,-1.1600541638856514,0
Miami Heat,Detroit Pistons,-0.20022452776187133,0.6965729653572642,0.8705873004078861,0.12994999443251729,-0.10026027186612074,-0.29265538793764273,0.13647696045713542,1
Atlanta Hawks,Memphis Grizzlies,-0.40044905552374266,0.9109031085441135,2.502938488672677,-0.7147249693788452,0.9023424467950968,2.194915409532328,0.7506232825142451,1
Washington Wizards,Orlando Magic,-0.15879876339734628,-2.7327093256323325,0.10882341255098554,-0.2598999888650344,1.1697031717714204,1.646186557149246,1.705962005714186,1
Oklahoma City Thunder,Brooklyn Nets,0.7180465823184342,0.5894078937638378,-1.523527775713803,0.8879916286222015,0.3342009062204058,-1.2072034752427847,-0.7506232825142451,1
Boston Celtics,Sacramento Kings,0.7952094806021317,0.4288988492476006,-0.2160919704308082,1.3789111013150004,0.9712571847969595,-1.269184241061819,1.154139128223546,1
Orlando Magic,Cleveland Cavaliers,1.4464586241987054,0.9650224108070947,-0.5402299260770221,1.9390937362242193,0.26793301649571766,-3.009779771660889,0.6110148325889401,1
Indiana Pacers,Oklahoma City Thunder,0.19880237015053315,-1.2330841915868436,0.5402299260770221,0.08618194383218747,-0.06698325412392939,-0.1450496275499189,1.0862485912692192,1
Utah Jazz,Minnesota Timberwolves,0.7540779557434003,0.6433482738713989,2.2689656895234926,0.904910410237969,-0.6698325412392845,-2.248269227023795,0.9504675173605659,1
Denver Nuggets,Dallas Mavericks,1.8851948893585022,1.1258594792749463,-1.2965518225848542,1.4650930451471882,1.7750562342841025,-0.6164609170871702,0.5431242956346134,1
Toronto Raptors,Los Angeles Lakers,1.7412345523529433,0.0,-1.2965518225848525,1.4866385311052346,1.50712321778839,-0.6889857308621271,1.0862485912692192,1
Philadelphia 76ers,Sacramento Kings,1.0357865815096812,1.4457268939501704,2.0507284899478866,0.9649252486151715,0.8645597303151289,-0.6900190049498361,1.6212847482502997,1
San Antonio Spurs,New York Knicks,2.6537799996849345,0.10709088103334764,-1.618996176274647,2.1442783302559363,2.660183785585018,-0.5810686357472361,3.17501596532351,1
Houston Rockets,Phoenix Suns,2.667319693560878,1.2850905724001525,-1.7269292546929564,2.4873628630968865,3.1257159480623935,-0.7626525844182414,1.891498872958684,1
LA Clippers,Chicago Bulls,2.030954081391531,1.0709088103334612,-0.21586615683662075,1.8655221473226646,2.1613993257878272,-0.7626525844182414,1.7563918106044918,1
Miami Heat,Milwaukee Bucks,-1.9158666834460116,-0.4819089646500567,1.8348623331112657,-1.9727360638354619,-2.128147028468016,1.089503692026062,-2.6345877159067417,0
Detroit Pistons,Los Angeles Lakers,0.44680989790613695,0.5889998456834044,-0.6475984705098585,0.34308453284094986,0.13300918927925276,-0.3268511076078155,-0.8781959053022496,1
Washington Wizards,Charlotte Hornets,-0.24371448976698407,-1.9811812991169009,1.1872638626014094,-0.3001989662358311,-0.06650459463962638,0.32685110760781544,1.0808564988335305,0
New Orleans Pelicans,Portland Trail Blazers,-1.3201201529044955,-1.0709088103334612,0.0,-0.8148257654972559,-0.5652890544368173,0.7989693741524465,-0.2026605935312884,0
San Antonio Spurs,Portland Trail Blazers,-0.1561740970899197,-1.492919415408974,-1.724817282200637,-0.43045187142563257,-0.269591926462448,0.5027684703738706,0.4750073262895997,1
Boston Celtics,Atlanta Hawks,1.8401382744073125,0.15995565165096395,-4.204242125364049,2.3459626992696974,1.381658623120029,-2.334282183878676,0.882156463109249,1
Utah Jazz,Brooklyn Nets,0.49568300380713554,0.5331855055032055,0.3234032404126198,0.8609037428512651,0.10109697242342039,-1.2569211759346715,0.5428655157595349,1
Dallas Mavericks,Cleveland Cavaliers,1.1067990358981254,0.7997782582548083,0.8624086411003166,1.7002848921312486,0.6065818345404983,-2.2265460830842763,1.1535892209890277,1
