,Home,Away,Home Team Win Probability
201,Phoenix Suns,Dallas Mavericks,0.20429742006391524
202,Houston Rockets,Los Angeles Lakers,0.4767219337604345
203,Orlando Magic,Chicago Bulls,0.8157779981064759
204,Philadelphia 76ers,Indiana Pacers,0.5874054416254013
205,Boston Celtics,Atlanta Hawks,0.8855033969757545
206,Brooklyn Nets,Washington Wizards,0.6299512938323282
207,Cleveland Cavaliers,Milwaukee Bucks,0.17315264409520498
208,Portland Trail Blazers,Toronto Raptors,0.38107293308929824
209,Sacramento Kings,Golden State Warriors,0.4343246656535435
210,Denver Nuggets,Oklahoma City Thunder,0.6536083724173999
211,Charlotte Hornets,New York Knicks,0.7589832491793136
212,Memphis Grizzlies,Miami Heat,0.7265443031740838
213,San Antonio Spurs,Chicago Bulls,0.8209716537212564
214,Phoenix Suns,Minnesota Timberwolves,0.34569446640861556
215,Orlando Magic,Utah Jazz,0.6002604651859426
216,Detroit Pistons,Boston Celtics,0.5247571029470488
217,Charlotte Hornets,Los Angeles Lakers,0.3862248290235291
218,Memphis Grizzlies,Houston Rockets,0.6052351513702913
219,Oklahoma City Thunder,LA Clippers,0.6426735613162644
220,Brooklyn Nets,Atlanta Hawks,0.7783036105532258
221,Cleveland Cavaliers,Philadelphia 76ers,0.16226672123559602
222,Indiana Pacers,New York Knicks,0.8976878814253297
223,Dallas Mavericks,Sacramento Kings,0.60087826866865
224,Denver Nuggets,Toronto Raptors,0.5597441163386706
225,Washington Wizards,Los Angeles Lakers,0.34298196071087783
226,New Orleans Pelicans,Miami Heat,0.6332859034931533
227,Golden State Warriors,Memphis Grizzlies,0.7602189700108113
228,San Antonio Spurs,Philadelphia 76ers,0.41777613153693
229,New York Knicks,Phoenix Suns,0.6385826810476275
230,Houston Rockets,Utah Jazz,0.6932662589338519
231,LA Clippers,Portland Trail Blazers,0.5947751426681828
232,Detroit Pistons,Milwaukee Bucks,0.3953863534960797
233,Minnesota Timberwolves,Sacramento Kings,0.5049434938231472
234,Oklahoma City Thunder,Chicago Bulls,0.9144148737603324
235,Brooklyn Nets,Los Angeles Lakers,0.41964205237053204
236,Indiana Pacers,Cleveland Cavaliers,0.905747391812171
237,Atlanta Hawks,Washington Wizards,0.46104849805441683
238,Denver Nuggets,Dallas Mavericks,0.7713568214755877
239,Philadelphia 76ers,New York Knicks,0.9031438322503229
240,Chicago Bulls,Brooklyn Nets,0.31215854767011036
241,Boston Celtics,Phoenix Suns,0.8656857329294272
242,Houston Rockets,Washington Wizards,0.7932874650581001
