,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
516,Cleveland Cavaliers,Detroit Pistons,0.9343742364086629,-0.9033208561334353,0.29674345849899314,0.07221674038911813,1.6649805067511805,1.9722278585432778,2.3580985391359155,1,01/28/2018
517,Houston Rockets,Phoenix Suns,2.744724319450448,-0.056457553508340697,-0.9891448616633082,3.538620279066788,3.2979421576033063,-1.5945672047796693,2.8940300253031706,1,01/28/2018
518,Toronto Raptors,Los Angeles Lakers,2.0804426357536645,-0.6774906421000804,-1.9782897233266161,2.4553691732300162,2.4014141924295926,-1.0070950767029523,1.768573904351935,1,01/28/2018
519,Oklahoma City Thunder,Philadelphia 76ers,0.4306881245946178,-0.11291510701668139,-2.967434584989926,0.6258784167056903,1.1206599564671431,0.2937360640383615,-1.0182698237177783,1,01/28/2018
520,New Orleans Pelicans,LA Clippers,0.4598873194823885,-0.564575535083399,0.19782897233266272,0.02407224679637271,0.09605656769718274,0.2937360640383616,1.0718629723345097,0,01/28/2018
521,Indiana Pacers,Charlotte Hornets,0.8828918705811986,-2.336326964890032,0.4947505107477075,0.2615688724411925,0.8940518644714948,0.68602043210698,1.547968852557472,1,01/29/2018
522,Milwaukee Bucks,Philadelphia 76ers,0.1435596537530405,-3.7039329931183422,-3.3643034730844126,-0.4518007796711506,0.798260593278121,1.9294324653008883,0.5337823629508545,1,01/29/2018
523,Atlanta Hawks,Minnesota Timberwolves,-2.361556304237514,-0.9117373521522081,2.8695529623367033,-1.926098060703326,-2.362851356103236,0.3858864930601741,-0.7472953081311903,1,01/29/2018
524,Dallas Mavericks,Miami Heat,-1.801673654600656,-1.196655274699773,-2.968503064486245,-0.28534786084493724,0.25544338984899784,0.6860204321069863,-0.21351294518034175,0,01/29/2018
525,Denver Nuggets,Boston Celtics,-1.2130790742131905,0.17095075352854128,1.28635132794404,-0.9036015593423012,0.7343997458158704,2.6583291744145585,0.3736476540655981,0,01/29/2018
526,Memphis Grizzlies,Phoenix Suns,0.10049175762712781,-0.7407865986236669,-0.5937006128972485,0.9511595361497907,0.25544338984899784,-1.1576594791805281,0.4804041266557689,1,01/29/2018
527,San Antonio Spurs,Denver Nuggets,0.8263938793004136,0.287312803006573,-1.3818223287138698,0.6923736279376722,-0.8043694719793979,-2.349841188097055,-0.6426988621350955,1,01/30/2018
528,New York Knicks,Brooklyn Nets,0.5748826986437661,-0.17238768180394626,0.09870159490813324,0.5491239118126365,0.9008938086169247,0.21757788778676412,0.6426988621350955,1,01/30/2018
529,LA Clippers,Portland Trail Blazers,-0.29462738305493036,-1.3791014544315543,0.49350797454066775,-0.23874952687505938,0.3860973465501119,0.739764818474993,0.6962571006463476,0,01/30/2018
530,Houston Rockets,Orlando Magic,3.1402967413415723,1.0343260908236618,-0.2961047847244013,3.079868896688266,2.6705066469716003,-1.6971075247367562,2.2494460174728284,1,01/30/2018
531,Detroit Pistons,Cleveland Cavaliers,-1.0491609250248728,0.8619384090197194,-0.39480637963253273,-0.26262447956256535,-1.7696128383546752,-1.8276542574088197,-2.410120733006602,1,01/30/2018
532,Utah Jazz,Golden State Warriors,-2.6660185149604656,-0.5746256060131463,-0.49350797454066775,-2.2442455526255585,-3.056603993521712,0.0,-3.159936072164214,1,01/30/2018
533,Washington Wizards,Oklahoma City Thunder,-0.3521156529193062,-1.6664142574381275,-0.09870159490813318,-0.6923736279376722,-0.5147964620668174,0.826795973589706,0.7498153391576114,1,01/30/2018
534,Toronto Raptors,Minnesota Timberwolves,0.603626833575954,0.6320881666144618,0.7896127592650672,0.9788730601877434,-0.2573982310334111,-2.0452321451955777,0.2677911925562898,1,01/30/2018
535,New Orleans Pelicans,Sacramento Kings,1.760578264596534,0.22985024240525775,0.3948063796325345,2.2203705999380525,2.123535406025613,-1.1314050164911706,2.838586641096666,0,01/30/2018
536,Phoenix Suns,Dallas Mavericks,0.13809920009376775,0.9068763206321924,2.962109440124665,-1.2447491738192877,-0.5556115537734138,1.4758721226733518,-0.4832325599125991,1,01/31/2018
537,Brooklyn Nets,Philadelphia 76ers,-1.1484038744639629,-0.6234774704346325,-1.9747396267497783,-1.2203423272738114,-0.5882945863483187,1.3022401082411958,-1.1275426397960586,1,01/31/2018
538,Boston Celtics,New York Knicks,1.853436632837408,0.39675839027658544,-0.9873698133748883,1.269156020364764,-0.3268303257490664,-2.6478882200904357,-0.21477002662782183,1,01/31/2018
539,Cleveland Cavaliers,Miami Heat,0.08722054742764285,-1.0769156307507268,-0.9873698133748883,0.19525477236380984,2.1243971173689316,2.2572161876180745,1.7181602130225688,1,01/31/2018
540,Orlando Magic,Los Angeles Lakers,-0.7413746531349635,-1.813752641264385,-0.7898958506999096,-0.4881369309095245,0.6209776189232281,1.6929121407135512,0.8590801065112872,1,01/31/2018
541,Portland Trail Blazers,Chicago Bulls,1.453675790460713,0.5667977003951197,0.39494792534995565,1.7328861047288124,1.1439061401217323,-1.4758721226733518,0.8053875998543318,1,01/31/2018
542,Indiana Pacers,Memphis Grizzlies,1.3228449693192486,0.2267190801580471,-1.4810547200623325,0.9762738618190492,1.4053704007209844,0.04340800360803737,0.9127726131682368,1,01/31/2018
543,Atlanta Hawks,Charlotte Hornets,-0.7849849268487846,-2.8906682720151076,2.764635477449688,-1.0983080945464303,-0.29414729317416166,1.3890561154572771,0.8590801065112872,0,01/31/2018
544,San Antonio Spurs,Houston Rockets,-0.6756870223626052,1.653524036340797,-0.09963647467047204,-0.9975780084720071,-2.679334528710938,-1.8514976481933036,-2.6517340365191697,0,02/01/2018
545,Detroit Pistons,Memphis Grizzlies,0.791934252016387,0.798252983061072,-0.9963647467047241,0.6326104443968825,0.3969384486979172,-0.7319874423089798,-0.3247021269207153,1,02/01/2018
546,Denver Nuggets,Oklahoma City Thunder,-0.566705244562185,-0.11403614043729382,1.096001221375198,-0.875922153780299,-0.2977038365234392,1.334800630092841,0.7035212749948834,1,02/01/2018
547,Minnesota Timberwolves,Milwaukee Bucks,0.30514897784117617,1.7675601767780904,-1.1956376960456683,0.7785974700269324,1.2900499582682299,0.1722323393668148,-0.5411702115345256,1,02/01/2018
548,Washington Wizards,Toronto Raptors,-0.97357054835042,-0.39912649153053803,0.697455322693308,-1.3625455725471316,-1.2238935501519095,0.9042197816758007,-0.5952872326879721,1,02/01/2018
549,Philadelphia 76ers,Miami Heat,-0.5034858417657847,1.1566765534682373,1.6040150627746717,0.4147312848140205,0.5929684777517468,-0.08743554436208845,0.6525541948370942,1,02/02/2018
550,Phoenix Suns,Utah Jazz,-0.6859082482026639,0.69400593208094,0.9022584728107527,-1.6345291813258453,-0.46119770491802325,2.142170836871137,-0.9244517760192253,0,02/02/2018
551,Brooklyn Nets,Los Angeles Lakers,-0.1094534438621273,0.11566765534682544,-0.10025094142341673,-0.024395957930236523,0.23059885245900935,0.30602440526730623,0.4894156461278253,0,02/02/2018
552,Boston Celtics,Atlanta Hawks,3.050102635624611,2.4290207622832956,-1.40351317992784,2.36640791923294,0.19765615925058538,-3.978317268474968,-0.054379516236425035,1,02/02/2018
553,Milwaukee Bucks,New York Knicks,0.7150958332325645,-2.833857555997181,-1.40351317992784,0.195167663441892,0.5929684777517514,0.4808954939914767,1.1419698409649195,1,02/02/2018
554,Sacramento Kings,Golden State Warriors,-3.3857598634684676,-0.8096735874277652,-0.4010037656936688,-4.049729016419259,-3.8542951053863614,2.0547352925090485,-4.4591203313868455,0,02/02/2018
555,Charlotte Hornets,Indiana Pacers,-1.0069716835315707,2.371186934609883,-0.5012547071170856,-0.292751495162838,-0.8565100234191892,-0.524613266172524,-1.6313854870927447,1,02/02/2018
556,Toronto Raptors,Portland Trail Blazers,0.809955484579742,-1.2723442088150627,-0.8020075313873358,1.2685898123722978,1.4494785011709408,-0.39345994962938824,1.0332108084920693,1,02/02/2018
557,Oklahoma City Thunder,New Orleans Pelicans,0.2699851615265798,2.3133531069364746,-0.8020075313873377,1.0002342751396962,0.36236962529273287,-1.4426864819744365,-2.0120421007477196,0,02/02/2018
558,San Antonio Spurs,Utah Jazz,1.2981205527199906,2.23688375451707,-0.20152414379983685,0.676356670446225,0.06574836208263518,-1.2276085458668144,-0.7048381524499734,0,02/03/2018
559,Cleveland Cavaliers,Houston Rockets,-1.0152898177698253,-0.8603399055834872,0.20152414379983685,-1.8116696529809597,-1.0848479743634643,1.5783538446859096,-0.4879648747730585,0,02/03/2018
560,LA Clippers,Chicago Bulls,1.0660543086583165,-0.745627918172354,1.2091448627990247,1.449335722384768,1.4464639658179554,-0.8330200846953417,1.5181129437384042,1,02/03/2018
561,Orlando Magic,Washington Wizards,-1.9508068641434493,-0.8603399055834873,0.4030482875996755,-1.5459581038770858,-0.6246094397850274,1.6221970070382872,-0.32530991651537233,0,02/03/2018
562,Detroit Pistons,Miami Heat,-0.5656614699003316,-0.3441359622333957,-1.6121931503987001,0.12077797686539732,0.5917352587437075,0.48227478587624656,-0.48796487477305855,1,02/03/2018
563,Indiana Pacers,Philadelphia 76ers,0.26832659469631115,-2.122171767105937,-3.8289587321969143,0.0,1.0848479743634645,1.5345106823335195,0.16265495825768617,1,02/03/2018
564,Sacramento Kings,Dallas Mavericks,0.04351242076156403,-0.28677996852782917,2.216765581798214,-1.5459581038770858,-0.9533512501981986,1.5783538446859033,-0.8674931107076594,0,02/03/2018
565,Denver Nuggets,Golden State Warriors,-1.9508068641434497,1.4338998426391454,0.10076207189991848,-1.7875140576078803,-1.7094574141484915,0.9645495717524993,-2.9277892486383448,1,02/03/2018
566,Minnesota Timberwolves,New Orleans Pelicans,0.369855576473293,0.5162039433500916,-2.418289725598051,0.724667861192384,1.3149672416526852,0.35074529881908895,-0.9217114301268882,1,02/03/2018
567,New York Knicks,Atlanta Hawks,1.0666619906120167,2.2361735977817974,-0.10114583419115108,0.8171574186564873,0.23192473606937303,-1.2793984074959655,-0.1658307365198113,0,02/04/2018
568,Phoenix Suns,Charlotte Hornets,-0.6648372681211883,-1.7774713213137379,2.528645854778785,-1.8265871711145005,-1.1264915751940952,1.4999843398228567,-0.055276912173270465,0,02/04/2018
569,Brooklyn Nets,Milwaukee Bucks,-1.3954276726499673,2.866889227925382,1.41604167867612,-0.721021251755724,-1.192755785499631,-0.3970546781884068,-1.4924766286782956,0,02/04/2018
570,Boston Celtics,Portland Trail Blazers,1.161638743200757,-0.05733778455850436,-0.10114583419115108,0.8652255021068687,-0.36445315668044,-2.117624950338155,0.0,1,02/04/2018
571,Toronto Raptors,Memphis Grizzlies,2.432866047080833,0.6880534147020892,-1.5171875128672712,2.4514722559694615,2.4186436761520222,-1.3676327804267236,1.3266458921584845,1,02/04/2018
572,Oklahoma City Thunder,Los Angeles Lakers,1.271227303880074,0.5733778455850765,-1.2137500102938161,1.7064169624885466,1.7891336782494391,-0.7941093563768074,0.4422152973861635,0,02/04/2018
573,LA Clippers,Dallas Mavericks,1.379889160233144,0.8156933376630168,2.31204336214866,0.6467279906909419,0.929106789300626,-0.08829632115954716,0.8294231813526706,1,02/05/2018
574,Detroit Pistons,Portland Trail Blazers,-0.41615704832428185,-1.1070123868283803,-0.20104724888249315,-0.3832462167057433,-0.39818862398597915,0.1324444817393176,-0.4423590300547577,1,02/05/2018
575,Miami Heat,Orlando Magic,1.8471532144919869,1.4565952458268172,0.8041889955299675,0.9820684303084672,-0.5309181653146468,-2.2957043501481946,-0.11058975751368938,0,02/05/2018
576,Indiana Pacers,Washington Wizards,-0.153321017803682,-0.4078466688315105,-0.8041889955299693,-0.16767021980876262,0.3318238533216525,0.706370569276371,0.3870641512979068,0,02/05/2018
577,Denver Nuggets,Charlotte Hornets,0.6278860729103196,-0.3495828589984371,2.6136142354723972,0.1197644427205448,0.4977357799824787,0.30903712405841194,1.0506026963800494,1,02/05/2018
578,Sacramento Kings,Chicago Bulls,-0.27743803221618757,-1.8061781048252499,1.1057598688537063,-0.718586656323269,-0.3981886239859791,0.7946668904359119,-0.11058975751368938,1,02/05/2018
579,New Orleans Pelicans,Utah Jazz,0.5548760644323754,-0.29131904916536344,0.5026181222062303,-0.14371733126465372,0.7300124773076363,1.2361484962336475,1.105897575136888,0,02/05/2018
580,Philadelphia 76ers,Washington Wizards,-0.6248491793353862,1.6792643556767426,2.939717974654592,-0.2890275595011267,-0.8342132905048459,-0.7908886350702722,0.05522969995987098,1,02/06/2018
581,Golden State Warriors,Oklahoma City Thunder,1.602554365824873,-1.563453020802483,1.0136958533291696,0.987510828295516,1.5683209861491114,0.3515060600312314,3.755619597271218,0,02/06/2018
582,Los Angeles Lakers,Phoenix Suns,0.5219328439154405,0.8685850115569341,0.0,0.9634251983370888,0.0,-1.7135920426522617,-0.27614849979935463,1,02/06/2018
583,New York Knicks,Milwaukee Bucks,-0.9703540196737772,2.8373777044193176,1.5205437799937545,-0.28902755950112663,-0.7007391640240734,-0.39544431753513926,-1.2702830990770255,0,02/06/2018
584,Brooklyn Nets,Houston Rockets,-2.889008558574199,0.6369623418084192,1.0136958533291696,-2.890275595011266,-3.270116098778995,0.7030121200624628,-2.7062552980336703,0,02/06/2018
585,Orlando Magic,Cleveland Cavaliers,-2.05832670839892,-0.4053396720599002,0.30410875599875153,-1.0597677181707976,-1.3347412648077535,0.13181477251171714,-1.4912018989165094,1,02/06/2018
586,Atlanta Hawks,Memphis Grizzlies,-0.3234513398912586,-0.6948680092455489,0.5068479266645848,-0.3853700793348356,0.3336853162019384,1.0105799225897991,0.33137819975922567,1,02/06/2018
587,Toronto Raptors,Boston Celtics,-0.22053500447131302,-1.2160190161797086,-0.7095870973304197,0.6503120088775347,1.9020063023510496,1.3620859826210303,0.9941345992776709,1,02/06/2018
588,Phoenix Suns,San Antonio Spurs,-2.169302075344319,-1.6905049112023702,1.2076518821315874,-2.5740985690875693,-0.7626829690755232,3.5362243279559964,-0.32889221355725473,0,02/07/2018
589,Cleveland Cavaliers,Minnesota Timberwolves,-0.22363938921075477,-0.524639455200735,1.7108401663530826,-0.9956418993640598,-0.7958430981657663,0.7609596655095189,0.8222305338931368,1,02/07/2018
590,Detroit Pistons,Brooklyn Nets,1.1554701775888987,-0.46634618240065245,-1.1070142252872905,0.99564189936406,0.5968823236243224,-0.8952466653053148,0.0,1,02/07/2018
591,Miami Heat,Houston Rockets,-1.587839663396357,0.2914663640004088,1.308289538975886,-2.234123286377891,-3.2828527799337754,-0.35809866612212465,-2.4118762327531953,0,02/07/2018
592,Memphis Grizzlies,Utah Jazz,-0.9840133125273196,-0.05829327280008256,0.7044635979100924,-1.1413455919539224,-0.7626829690755232,1.1638206648969132,-0.986676640671758,0,02/07/2018
593,Golden State Warriors,Dallas Mavericks,3.282911246904058,0.7487159403387768,2.9050799836105496,2.2436752540075577,2.7052617387390177,-0.3899484983260289,3.5022897543827587,1,02/08/2018
594,Los Angeles Lakers,Oklahoma City Thunder,-1.1016976932178029,-0.4607482709777123,1.1019268903350363,-1.6230842263033394,-1.7274562910020277,0.6499141638767107,-0.43105104669326344,1,02/08/2018
595,Orlando Magic,Atlanta Hawks,0.04436366549870341,0.17278060161663955,-0.9015765466377559,-0.07160665704279456,0.260748119396531,0.3466208874009111,0.10776276167331585,1,02/08/2018
596,Portland Trail Blazers,Charlotte Hornets,0.7615762577277434,-0.3455612032332831,1.4024524058809562,0.23868885680931462,-0.06518702984913391,-0.6065865529515991,0.4849324275299213,1,02/08/2018
597,Toronto Raptors,New York Knicks,2.070304389939496,-0.9214965419554205,-2.103678608821433,2.267544139688489,2.053391440247688,-1.2998283277534215,1.293153140079784,1,02/08/2018
598,Washington Wizards,Boston Celtics,-0.9981824737208286,-1.4974318806775537,0.0,-0.6444599133851496,0.7822443581895977,2.2963633790310434,0.4849324275299213,0,02/08/2018
599,Philadelphia 76ers,New Orleans Pelicans,-0.1323241465848165,2.3990884857704318,2.0047409422082545,0.35667358328590637,-0.6503050795933284,-1.636542060644571,-0.9094516460289017,1,02/09/2018
600,Chicago Bulls,Minnesota Timberwolves,-1.8819434180951664,1.1424230884621096,1.0023704711041272,-2.163819738601165,-2.991403366129312,0.0,-1.8724004477065561,1,02/09/2018
601,Boston Celtics,Indiana Pacers,1.2423767096018867,1.9421192503855895,0.8018963768833025,0.8084601221147211,-1.0404881273493263,-2.928548950627117,-0.8559544903801367,0,02/09/2018
602,Houston Rockets,Denver Nuggets,1.602592441971665,-1.2566653973083222,-1.3030816124353644,1.7120331997723506,1.7558237149019884,-0.6460034449912762,1.8724004477065561,1,02/09/2018
603,Detroit Pistons,LA Clippers,-0.07351341476934252,0.2856057721155274,-0.9021334239937149,-0.04755647777145418,-0.45521355571532707,-0.4306689633275174,-0.8559544903801426,0,02/09/2018
604,Miami Heat,Milwaukee Bucks,-0.28670231760043496,2.227725022501113,1.5035557066561909,-0.261560627742998,-1.1055186353086555,-0.9044048229877902,-1.1234402686239313,1,02/09/2018
605,Utah Jazz,Charlotte Hornets,0.40432378123138346,-2.056361559231798,1.9045038950978421,0.30911710551445215,-0.2601220318373304,-1.0336055119860381,1.283931735570208,1,02/09/2018
606,Atlanta Hawks,Cleveland Cavaliers,-2.0289702476338514,-0.2856057721155274,1.1026075182145396,-0.808460122114721,-1.560732191023987,-0.5598696523257713,-1.6584118251115205,0,02/09/2018
607,Sacramento Kings,Portland Trail Blazers,-1.646700490833271,-2.456209640193538,0.5011852355520636,-2.2589326941440735,-1.495701683064658,2.024144127639333,-1.0164459573264195,0,02/09/2018
